ID,Name,Place,Type,Price,ReviewsCount,Rating,City,State
109,Mely's House,Den Bosch,Deluxe Double Room (2 Adults + 1 Child),71.84,4,7,Den Bosch,
110,Little Duke Hotel,Den Bosch,Deluxe Double Room with Balcony,121.25,500,7.4,Den Bosch,
111,Fletcher Hotel-Restaurant ‘s-Hertogenbosch,Den Bosch,Standard Double Room,70.95,996,6.5,Den Bosch,
112,Campanile Hotel & Restaurant 's Hertogenbosch,Den Bosch,Double Room,72.35,983,6.6,Den Bosch,
113,"Hof, a luxury B&B in the center of Eindhoven","Strijp, Eindhoven",Deluxe Suite,144.6,500,9.7,Strijp, Eindhoven
114,Eindhoven4you,"Strijp, Eindhoven",Twin Room with Bathroom,56.19,234,9.1,Strijp, Eindhoven
115,Kazerne,"Eindhoven City Centre, Eindhoven",Deluxe King Room,230.35,63,9.1,Eindhoven City Centre, Eindhoven
116,cafe 't Vonderke,"Strijp, Eindhoven",Deluxe Double or Twin Room,62.84,283,8.7,Strijp, Eindhoven
117,Queen Hotel,"Eindhoven City Centre, Eindhoven",King Room,67.4,3075,8.8,Eindhoven City Centre, Eindhoven
118,Hotel Parkzicht Eindhoven,"Stratum, Eindhoven",Comfort Double Room,68.57,500,8.6,Stratum, Eindhoven
119,The Student Hotel Eindhoven,"Eindhoven City Centre, Eindhoven",Standard Queen Room,69.16,500,8.8,Eindhoven City Centre, Eindhoven
120,Hotel the Match,"Eindhoven City Centre, Eindhoven",Standard Double Room,70.95,4566,8.7,Eindhoven City Centre, Eindhoven
121,Design Hotel Glow,"Eindhoven City Centre, Eindhoven",Deluxe Twin Room,73.61,1375,8.5,Eindhoven City Centre, Eindhoven
122,Hotel Mariënhage,"Eindhoven City Centre, Eindhoven",Monastery Mystery,100.86,2480,8.6,Eindhoven City Centre, Eindhoven
123,Hotel Piet Hein Eek,"Strijp, Eindhoven",Small Double Room,116.01,33,8.7,Strijp, Eindhoven
124,Pullman Eindhoven Cocagne,"Eindhoven City Centre, Eindhoven",Superior Twin Room,141,500,8.7,Eindhoven City Centre, Eindhoven
125,NH Collection Eindhoven Centre,"Eindhoven City Centre, Eindhoven",Superior Twin/Double Room ,149.97,500,8.7,Eindhoven City Centre, Eindhoven
126,Hotel La Reine,"Eindhoven City Centre, Eindhoven",Standard Twin Room,61.96,1672,8.3,Eindhoven City Centre, Eindhoven
127,Winston B&B,"Eindhoven City Centre, Eindhoven",Double Room with Shared Bathroom,62.87,785,8.2,Eindhoven City Centre, Eindhoven
128,3BE Backpackers Bed & Breakfast Eindhoven,"Eindhoven City Centre, Eindhoven",Single Bed in 14-Bed Dormitory Room,66.39,805,8,Eindhoven City Centre, Eindhoven
129,Bastion Hotel Eindhoven Waalre,Eindhoven,Deluxe King Room,68.26,500,8.1,Eindhoven,
130,B&B Landgoed De Grote Beek,"Woensel-Zuid, Eindhoven",Double Room,70.22,1684,8.4,Woensel-Zuid, Eindhoven
131,Crown Hotel Eindhoven Centre,"Eindhoven City Centre, Eindhoven",Comfort Double Room,72.95,500,8,Eindhoven City Centre, Eindhoven
132,Tulip Inn Eindhoven Airport,"Strijp, Eindhoven",Standard Twin Room,73.61,500,8,Strijp, Eindhoven
133,Boutiquehotel Sycamore - Protected City View - Free Parking,"Tongelre, Eindhoven",Double Room with Private Bathroom,76.01,500,8.4,Tongelre, Eindhoven
134,Boutique Hotel Lumiere,"Eindhoven City Centre, Eindhoven",Comfort Room without Daylight,89.49,2915,8.4,Eindhoven City Centre, Eindhoven
135,Hotel Nassau,"Eindhoven City Centre, Eindhoven",Double Room,90.88,914,8.1,Eindhoven City Centre, Eindhoven
136,"Holiday Inn Eindhoven Centre, an IHG Hotel","Eindhoven City Centre, Eindhoven",Standard Double or Twin Room,98.47,500,8.4,Eindhoven City Centre, Eindhoven
137,Park Plaza Eindhoven,"Eindhoven City Centre, Eindhoven",Superior Double Room,103.46,500,8,Eindhoven City Centre, Eindhoven
138,B&B Molenstreek,Groningen,Deluxe King Room,88.91,500,9.5,Groningen,
139,Byonz,Groningen,Two-Bedroom House,340.37,58,9.8,Groningen,
140,The Hogg House - a city delight for two,Groningen,One-Bedroom Apartment,112.26,4,9,Groningen,
141,Hakuna Matata - 4p apartment Groningen Center,Groningen,One-Bedroom Apartment,125.73,9,9.3,Groningen,
142,The Market Hotel,Groningen,Double Room,140.1,500,9.1,Groningen,
143,Prinsenhof,Groningen,Superior Double Room,158.96,1281,9.2,Groningen,
144,Pied à Terre Oostersingel UMCG,Groningen,One-Bedroom Apartment,83.07,500,8.7,Groningen,
145,The Happy Traveler - Guesthouse Groningen,Groningen,Budget Double Room,86.22,824,8.5,Groningen,
146,Hotel Miss Blanche,Groningen,Standard Double Room,106.88,1292,8.8,Groningen,
147,Cosy Aquarium for a couple or friends,Groningen,One-Bedroom Apartment,112.26,2,8.5,Groningen,
148,Asgard Hotel,Groningen,Double Room,112.62,654,8.5,Groningen,
149,Van der Valk Hotel Groningen-Hoogkerk,Groningen,Standard Room,117.65,500,8.7,Groningen,
