ID,Name,Type,Price,ReviewsCount,Rating,City,State
187,Hotel Carillon,Double Room with Shower,81.05,542,5.5,Haarlem,North Holland
188,Hotel Bries Den Haag - Scheveningen,Standard Suite,116.25,303,9.0,The Hague,The Hague
189,COVE Centrum,Studio Apartments,114.99,451,9.0,The Hague City Centre, The Hague
190,La Paulowna Boutique Hotel,Standard King Room,128.06,500,9.3,The Hague City Centre, The Hague
191,Hotel Pistache Den Haag,Standard Suite,133.02,365,9.1,The Hague City Centre, The Hague
192,Boutique Hotel Havenkantoor,One-Bedroom Apartment,145.00,7,9.1,Laak, The Hague
193,The Collector Hotel,The Cabinet <double standard>,151.20,3136,9.2,The Hague City Centre, The Hague
194,'t Goude Hooft,Deluxe Suite,214.90,375,9.0,The Hague City Centre, The Hague
195,Stadsvilla Hotel Mozaic Den Haag,Deluxe Double Room,120.88,1299,8.9,The Hague City Centre, The Hague
196,Boutique Hotel First City,Deluxe Double Room,124.83,887,8.8,The Hague City Centre, The Hague
197,"voco The Hague, an IHG Hotel",Queen Room with Atrium View,129.01,500,8.7,The Hague City Centre, The Hague
198,Boutique Hotel De Salon,Superior King Room,131.37,1018,8.8,The Hague City Centre, The Hague
199,Carlton Ambassador,Standard Double Room,135.65,500,8.5,The Hague City Centre, The Hague
200,Babylon Hotel Den Haag,Standard Twin Room,137.08,500,8.5,Haagse Hout, The Hague
201,The Sunny Suite - R.Q.C.,One-Bedroom Apartment,142.79,46,8.8,The Hague City Centre, The Hague
202,Boutique Hotel Corona,Comfort Room City View,152.44,3337,8.5,The Hague City Centre, The Hague
203,"Hotel Indigo The Hague - Palace Noordeinde, an IHG Hotel",Standard Room,153.57,500,8.8,The Hague City Centre, The Hague
204,Hotel Excelsior,Standard Triple Room,157.17,293,8.9,The Hague,The Hague
205,"Staybridge Suites The Hague - Parliament, an IHG Hotel",Studio Suite Queen Bed,174.23,500,8.7,The Hague City Centre, The Hague
206,Mövenpick Hotel The Hague,Classic King Room,185.10,1000,8.9,The Hague City Centre, The Hague
207,Hotel Broer & Zus,Two-Bedroom Suite,206.92,16,8.5,The Hague City Centre, The Hague
208,The Student Hotel The Hague,Executive Queen Room,62.74,500,8.3,The Hague City Centre, The Hague
209,En Suite,Double Room,70.64,455,8.0,Segbroek, The Hague
210,Staten Hotel,Double or Twin Room,85.32,484,8.2,The Hague,The Hague
211,Riva hotel Den Haag - Delft,Standard Double Room,89.23,2125,8.4,The Hague,The Hague
212,Park Centraal Den Haag,Comfort Double,97.22,500,8.3,The Hague City Centre, The Hague
213,NinetyNine Amsterdam Airport,Double Room,92.15,751,8.5,Hoofddorp,North Holland
214,Executive Residency by Best Western Amsterdam Airport,Comfort Double Room with Kitchenette,100.13,994,8.5,Hoofddorp,North Holland
215,Novotel Amsterdam Schiphol Airport,Standard Room with Double Bed and One Sofa Bed,121.24,500,8.5,Hoofddorp,North Holland
216,Hyatt Place Amsterdam Airport,King Room,122.90,500,8.5,Hoofddorp,North Holland
